rdt_id,cause_group,rdt_lines,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,long_disruption
57284,accidents,Den Haag HS - Rotterdam Centraal,4,Wednesday,1,0,3,1.0,0
57285,accidents,Den Haag HS - Rotterdam Centraal,4,Wednesday,1,0,3,1.0,1
57286,accidents,Dordrecht - Rotterdam Centraal,4,Wednesday,1,0,8,1.0,0
57288,logistical,Rotterdam Centraal - Schiphol Airport (HSL),4,Wednesday,1,0,2,1.0,1
57290,rolling stock,Almelo - Deventer,10,Wednesday,1,0,5,1.0,0
57291,external,Alkmaar - Den Helder,10,Wednesday,1,0,3,1.0,1
57292,rolling stock,Hamm (Westf.) - Venlo,11,Wednesday,1,0,7,1.0,1
57293,logistical,"Arnhem Centraal - Basel SBB, Arnhem Centraal - Düsseldorf Hbf, Arnhem Centraal - Frankfurt (M) Hbf",12,Wednesday,1,0,7,3.0,0
57294,rolling stock,"Den Haag Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal",13,Wednesday,1,0,3,2.0,0
57296,external,Dordrecht - Roosendaal,14,Wednesday,1,0,6,1.0,0
57297,infrastructure,Alkmaar - Den Helder,14,Wednesday,1,0,3,1.0,1
57298,external,"Heerlen - Maastricht, Liège-Guillemins - Maastricht, Maastricht - Maastricht Randwyck",14,Wednesday,1,0,6,3.0,1
57299,external,Baarn - Utrecht Centraal,14,Wednesday,1,0,3,1.0,1
57301,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport",16,Wednesday,1,0,4,3.0,0
57302,infrastructure,Deventer - Zwolle,18,Wednesday,1,0,2,1.0,1
57303,rolling stock,"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport",18,Wednesday,1,0,3,2.0,0
57304,external,Den Haag HS - Rotterdam Centraal,18,Wednesday,1,0,4,1.0,1
57305,external,Arnhem Centraal - Zutphen,19,Wednesday,1,0,6,1.0,1
57306,rolling stock,Eindhoven - Venlo,19,Wednesday,1,0,3,1.0,0
57307,infrastructure,Arnhem Centraal - Winterswijk,19,Wednesday,1,0,2,1.0,0
57308,accidents,Den Haag HS - Rotterdam Centraal,21,Wednesday,1,0,4,1.0,1
57309,infrastructure,Leeuwarden - Stavoren,21,Wednesday,1,0,4,1.0,1
57310,external,Almelo - Mariënberg,22,Wednesday,1,0,5,1.0,1
57312,infrastructure,Den Haag HS - Rotterdam Centraal,4,Thursday,1,0,2,1.0,0
57313,staff,Aachen Hbf - Heerlen,7,Thursday,1,0,6,1.0,1
57315,accidents,Roosendaal - Vlissingen,9,Thursday,1,0,2,1.0,1
57316,infrastructure,Groningen - Zwolle,9,Thursday,1,0,5,1.0,1
57317,rolling stock,Amersfoort - Utrecht Centraal,10,Thursday,1,0,5,1.0,1
57318,accidents,Eindhoven - Venlo,12,Thursday,1,0,2,1.0,1
57319,infrastructure,Kampen - Zwolle,12,Thursday,1,0,3,1.0,0
57320,rolling stock,"Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",13,Thursday,1,0,4,3.0,1
57321,unknown,'s-Hertogenbosch - Utrecht Centraal,13,Thursday,1,0,9,1.0,1
57322,accidents,Haarlem - Leiden Centraal,13,Thursday,1,0,3,1.0,1
57323,accidents,Den Haag Centraal - Leiden Centraal,14,Thursday,1,0,6,1.0,1
57325,rolling stock,Dordrecht - Rotterdam Centraal,17,Thursday,1,0,8,1.0,0
57326,external,"Groningen - Bad Nieuweschans, Groningen - Leer (Ostfriesland), Groningen - Veendam",18,Thursday,1,0,5,3.0,0
57327,accidents,Amsterdam Centraal - Hoorn,19,Thursday,1,0,5,1.0,1
57328,external,Groningen - Zwolle,19,Thursday,1,0,4,1.0,0
57329,external,Roosendaal - Vlissingen,20,Thursday,1,0,11,1.0,0
57330,unknown,Arnhem Centraal - Zutphen,22,Thursday,1,0,3,1.0,0
57331,infrastructure,Leiden Centraal - Utrecht Centraal,5,Friday,1,0,3,1.0,1
57332,external,Heerlen - Sittard,6,Friday,1,0,7,1.0,1
57333,infrastructure,Amsterdam Centraal - Haarlem,6,Friday,1,0,4,1.0,1
57335,infrastructure,"Amersfoort - Amsterdam Centraal, Amsterdam Centraal - Lelystad Centrum",7,Friday,1,0,5,2.0,1
57336,unknown,Amsterdam Centraal - Haarlem,8,Friday,1,0,4,1.0,1
57337,accidents,Den Haag HS - Rotterdam Centraal,9,Friday,1,0,2,1.0,1
57338,logistical,Rotterdam Centraal - Schiphol Airport (HSL),9,Friday,1,0,2,1.0,1
57339,accidents,Dordrecht - Rotterdam Centraal,9,Friday,1,0,8,1.0,1
57340,rolling stock,Groningen - Eemshaven,12,Friday,1,0,2,1.0,1
57341,rolling stock,'s-Hertogenbosch - Eindhoven,13,Friday,1,0,3,1.0,0
57342,rolling stock,'s-Hertogenbosch - Tilburg,13,Friday,1,0,2,1.0,0
57343,external,"Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal",14,Friday,1,0,5,3.0,0
57344,rolling stock,Arnhem Centraal - Nijmegen,15,Friday,1,0,5,1.0,1
57345,rolling stock,'s-Hertogenbosch - Nijmegen,15,Friday,1,0,6,1.0,1
57346,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",16,Friday,1,0,5,3.0,1
57347,accidents,Arnhem Centraal - Utrecht Centraal,18,Friday,1,0,4,1.0,1
57348,logistical,"Amsterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal",18,Friday,1,0,7,2.0,1
57349,logistical,Leiden Centraal - Schiphol Airport,18,Friday,1,0,5,1.0,1
57350,logistical,Den Haag Centraal - Leiden Centraal,18,Friday,1,0,6,1.0,1
57351,rolling stock,"Alkmaar - Amsterdam Centraal, Amersfoort - Amsterdam Centraal, Amsterdam Centraal - Haarlem, Amsterdam Centraal - Hoorn, Amsterdam Centraal - Lelystad Centrum, Amsterdam Centraal - Schiphol Airport, Amsterdam Centraal - Utrecht Centraal, Amsterdam Centraal - Woerden, Leiden Centraal - Schiphol Airport",18,Friday,1,0,5,9.0,1
57352,rolling stock,Dordrecht - Rotterdam Centraal,21,Friday,1,0,8,1.0,0
57353,rolling stock,Arnhem Centraal - Zutphen,22,Friday,1,0,8,1.0,0
57354,engineering work,Amsterdam Centraal - Haarlem,3,Saturday,1,1,5,1.0,1
57356,accidents,Amsterdam Centraal - Hoorn,6,Saturday,1,1,2,1.0,1
57357,accidents,Amsterdam Centraal - Utrecht Centraal,6,Saturday,1,1,11,1.0,1
57358,rolling stock,"Amersfoort - Apeldoorn, Apeldoorn - Deventer",6,Saturday,1,1,5,2.0,1
57359,infrastructure,Almelo - Deventer,7,Saturday,1,1,5,1.0,0
57360,infrastructure,Almelo - Deventer,8,Saturday,1,1,6,1.0,1
57361,infrastructure,Leiden Centraal - Utrecht Centraal,9,Saturday,1,1,2,1.0,1
57362,unknown,Dordrecht - Rotterdam Centraal,10,Saturday,1,1,8,1.0,0
57363,infrastructure,Leiden Centraal - Schiphol Airport,12,Saturday,1,1,4,1.0,1
57364,infrastructure,Den Haag Centraal - Leiden Centraal,12,Saturday,1,1,6,1.0,1
57366,rolling stock,Breda - Rotterdam Centraal (HSL),15,Saturday,1,1,2,1.0,0
57368,rolling stock,"Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",16,Saturday,1,1,2,2.0,0
57371,infrastructure,Rotterdam Centraal - Schiphol Airport (HSL),18,Saturday,1,1,2,1.0,1
57372,infrastructure,"Den Haag Centraal - Leiden Centraal, Leiden Centraal - Schiphol Airport",19,Saturday,1,1,10,2.0,1
57374,external,Leiden Centraal - Utrecht Centraal,21,Saturday,1,1,2,1.0,1
57375,rolling stock,Rotterdam Centraal - Schiphol Airport (HSL),6,Sunday,1,1,2,1.0,1
57376,infrastructure,Leiden Centraal - Utrecht Centraal,7,Sunday,1,1,3,1.0,1
57377,infrastructure,"Den Haag Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal",7,Sunday,1,1,2,2.0,0
57379,rolling stock,Breda - Rotterdam Centraal (HSL),7,Sunday,1,1,2,1.0,0
57380,infrastructure,"Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal",8,Sunday,1,1,3,3.0,0
57381,infrastructure,Amsterdam Centraal - Hoorn,9,Sunday,1,1,5,1.0,1
57382,infrastructure,Amersfoort - Ede-Wageningen,9,Sunday,1,1,4,1.0,1
57383,staff,Aachen Hbf - Heerlen,10,Sunday,1,1,6,1.0,1
57384,unknown,Den Haag HS - Rotterdam Centraal,11,Sunday,1,1,4,1.0,0
57385,infrastructure,Leeuwarden - Zwolle,11,Sunday,1,1,2,1.0,1
57386,unknown,Den Haag HS - Rotterdam Centraal,13,Sunday,1,1,4,1.0,1
57387,rolling stock,"Antwerpen-Centraal - Breda (HSL), Breda - Rotterdam Centraal (HSL)",14,Sunday,1,1,3,2.0,0
57388,infrastructure,"Amersfoort - Schiphol Airport, Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal, Schiphol Airport - Zaandam",15,Sunday,1,1,1,7.0,1
57389,infrastructure,Den Haag Centraal - Leiden Centraal,16,Sunday,1,1,6,1.0,1
57390,infrastructure,Breda - Rotterdam Centraal (HSL),16,Sunday,1,1,2,1.0,1
57391,accidents,Eindhoven - Venlo,16,Sunday,1,1,3,1.0,1
57392,rolling stock,"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport",17,Sunday,1,1,3,2.0,1
57393,unknown,'s-Hertogenbosch - Nijmegen,21,Sunday,1,1,6,1.0,0
57394,staff,Aachen Hbf - Heerlen,4,Monday,1,0,6,1.0,1
57395,rolling stock,Alkmaar - Den Helder,6,Monday,1,0,5,1.0,0
57397,accidents,Roosendaal - Vlissingen,6,Monday,1,0,4,1.0,0
57398,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amersfoort - Utrecht Centraal, Baarn - Utrecht Centraal, Hilversum - Utrecht Centraal",6,Monday,1,0,2,4.0,0
57399,infrastructure,Groningen - Eemshaven,6,Monday,1,0,2,1.0,1
57400,rolling stock,Emmen - Zwolle,7,Monday,1,0,2,1.0,1
57401,external,"Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",8,Monday,1,0,9,2.0,1
57402,rolling stock,Arnhem Centraal - Nijmegen,9,Monday,1,0,5,1.0,0
57403,rolling stock,"Breda - Dordrecht, Dordrecht - Roosendaal",9,Monday,1,0,3,2.0,1
57404,rolling stock,Breda - Rotterdam Centraal (HSL),9,Monday,1,0,2,1.0,1
57405,rolling stock,"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",9,Monday,1,0,15,3.0,0
57406,rolling stock,Eindhoven - Venlo,10,Monday,1,0,9,1.0,0
57407,infrastructure,Winterswijk - Zutphen,10,Monday,1,0,6,1.0,1
57408,rolling stock,Arnhem Centraal - Zutphen,11,Monday,1,0,3,1.0,1
57409,rolling stock,Arnhem Centraal - Nijmegen,11,Monday,1,0,5,1.0,0
57410,accidents,Roosendaal - Vlissingen,12,Monday,1,0,4,1.0,1
57411,unknown,'s-Hertogenbosch - Nijmegen,13,Monday,1,0,4,1.0,0
57413,rolling stock,Amsterdam Centraal - Utrecht Centraal,13,Monday,1,0,11,1.0,0
57414,weather,Rotterdam Centraal - Schiphol Airport (HSL),14,Monday,1,0,2,1.0,0
57415,weather,"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",14,Monday,1,0,15,3.0,0
57416,external,Eindhoven - Venlo,14,Monday,1,0,4,1.0,0
57417,external,Heerlen - Maastricht,14,Monday,1,0,5,1.0,1
